Hybridization REF	GHYLL_p_TCGABatch17_Mashima45_HT_HG-U133A_96-HTA_A12_471884
Composite Element REF	Signal
UPB1	3.75897768840533
LAT	3.94263754459061
CLDN14	3.59202958726114
DHX38	4.69236126337282
KCNA3	3.25028410345665
BTBD1	9.06961038019931
TARS2	4.97729809348905
SKIV2L2	7.54950502619925
ABCF1	7.98079644131161
CDT1	3.31530769339215
ZHX2	7.82952793627492
FCF1	5.23760633671035
LRRC49	4.97714241818279
GUCY1B2	4.00282445618328
CD28	3.23835444206513
SMARCA4	6.51273033733354
SEPT2	9.56822775613692
SOHLH2	3.28832370474432
MCOLN3	3.91830377869344
LRP8	5.52979309549362
TAGLN3	3.84177364939833
MASP2	3.59140307061301
GPATCH3	4.09624528985961
TTRAP	8.31749611189075
AGL	6.36338646020225
NFE2L3	4.79925721097427
PSD4	3.96515102940921
PALMD	4.97363308595136
CCNB1IP1	9.1322081965527
TMEM43	7.91018806571389
OBFC1	5.53761986652802
STAT5B	4.2827637987848
C14orf79	4.6992839552440
ENPEP	3.75267117366171
